val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,epoch,created_at,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch,lr-AdamW,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step
0.07747343927621841,0.0002748609404079616,0.07747343927621841,0.21933257579803467,0.0009036270203068852,0.21933257579803467,0.0,2024-06-25 02:38:20.416918,,,,,,,,
,,,,,,0.0,2024-06-25 02:38:20.450562,0.14929287135601044,0.00244761910289526,0.14929287135601044,,,,,
,,,,,,,2024-06-25 02:39:27.036337,,,,0.032,,,,
,,,,,,1.0,2024-06-25 02:39:27.429755,,,,,0.1217469722032547,0.001147228293120861,0.1217469722032547,49.0
0.22129562497138977,0.0015248791314661503,0.22129562497138977,0.08173384517431259,0.0003228055720683187,0.08173384517431259,1.0,2024-06-25 02:40:00.253405,,,,,,,,
,,,,,,1.0,2024-06-25 02:40:00.266112,0.1390441209077835,0.001541564124636352,0.1390441209077835,,,,,
0.14066287875175476,0.0004784290213137865,0.14066287875175476,0.08762144297361374,0.00029584020376205444,0.08762144297361374,2.0,2024-06-25 02:42:44.207842,,,,,,,,
,,,,,,2.0,2024-06-25 02:42:44.218728,0.13503539562225342,0.0017388262785971165,0.13503539562225342,,,,,
,,,,,,,2024-06-25 02:43:13.540710,,,,0.032,,,,
,,,,,,3.0,2024-06-25 02:43:15.339175,,,,,0.22458405792713165,0.0021557107102125883,0.22458405792713165,99.0
0.030095364898443222,0.00011887256550835446,0.030095364898443222,0.11640671640634537,0.0004914815654046834,0.11640671640634537,3.0,2024-06-25 02:44:23.433080,,,,,,,,
,,,,,,3.0,2024-06-25 02:44:23.470258,0.12326639890670776,0.0009656942565925419,0.12326639890670776,,,,,
,,,,,,,2024-06-25 02:45:09.762309,,,,0.032,,,,
,,,,,,4.0,2024-06-25 02:45:10.206906,,,,,0.07237671315670013,0.00029124540742486715,0.07237671315670013,149.0
0.09515812993049622,0.0003219463978894055,0.09515812993049622,0.17095942795276642,0.0012418465921655297,0.17095942795276642,4.0,2024-06-25 02:45:37.652199,,,,,,,,
,,,,,,4.0,2024-06-25 02:45:37.672109,0.12808305025100708,0.005964010022580624,0.12808305025100708,,,,,
0.10356210172176361,0.0004782462783623487,0.10356210172176361,0.1479213684797287,0.0006879291031509638,0.1479213684797287,5.0,2024-06-25 02:47:35.648489,,,,,,,,
,,,,,,5.0,2024-06-25 02:47:35.663048,0.1535637229681015,0.0020645232871174812,0.1535637229681015,,,,,
,,,,,,,2024-06-25 02:48:07.465997,,,,0.032,,,,
,,,,,,6.0,2024-06-25 02:48:09.277231,,,,,0.11470188200473785,0.000551836856175214,0.11470188200473785,199.0
0.19041360914707184,0.0014393513556569815,0.19041360914707184,0.03061327338218689,0.00010954246681649238,0.03061327338218689,6.0,2024-06-25 02:49:27.050752,,,,,,,,
,,,,,,6.0,2024-06-25 02:49:27.107123,0.12492304295301437,0.001228121342137456,0.12492304295301437,,,,,
,,,,,,,2024-06-25 02:50:56.103635,,,,0.032,,,,
,,,,,,7.0,2024-06-25 02:50:56.554306,,,,,0.24731193482875824,0.0028465595096349716,0.24731193482875824,249.0
0.06828390806913376,0.00024513760581612587,0.06828390806913376,0.13321131467819214,0.0010417712619528174,0.13321131467819214,7.0,2024-06-25 02:51:13.543098,,,,,,,,
,,,,,,7.0,2024-06-25 02:51:13.876741,0.13400213420391083,0.002382964361459017,0.13400213420391083,,,,,
0.07332878559827805,0.0002633010153658688,0.07332878559827805,0.01495026983320713,6.528557423735037e-05,0.01495026983320713,8.0,2024-06-25 02:52:37.796925,,,,,,,,
,,,,,,8.0,2024-06-25 02:52:37.816747,0.1440822184085846,0.005401165224611759,0.1440822184085846,,,,,
,,,,,,,2024-06-25 02:53:05.546856,,,,0.032,,,,
,,,,,,9.0,2024-06-25 02:53:09.746827,,,,,0.1907753199338913,0.00896252691745758,0.1907753199338913,299.0
0.08392121642827988,0.0003529037639964372,0.08392121642827988,0.24712805449962616,0.0014383291127160192,0.24712805449962616,9.0,2024-06-25 02:53:43.744383,,,,,,,,
,,,,,,9.0,2024-06-25 02:53:43.773913,0.15283025801181793,0.0015235868049785495,0.15283025801181793,,,,,
,,,,,,,2024-06-25 02:54:16.966744,,,,0.032,,,,
,,,,,,10.0,2024-06-25 02:54:17.380893,,,,,0.1395515352487564,0.0006093962583690882,0.1395515352487564,349.0
0.13648681342601776,0.0009756818180903792,0.13648681342601776,0.1497982293367386,0.0018434239318594337,0.1497982293367386,10.0,2024-06-25 02:54:19.765869,,,,,,,,
